pH,EC,Organic Carbon(OC),Available Nitrogen(N),Available Phosphorus(P),Available Potassium(K),Available Sulphur(S),Available Zinc(Zn),Available Boron(B),Available Iron(Fe),Available Manganese(Mn),Available Copper(Cu),Fertility
8.2,0.16,0.88,212.0,3.76,165.0,8.11,0.11,0.47,1.01,0.72,0.29,0.0
7.83,0.23,0.79,190.0,8.15,218.0,7.11,0.2,0.52,0.79,0.11,0.41,0.0
8.12,0.51,1.0,241.0,6.72,490.0,6.49,0.65,0.11,0.82,0.29,0.11,0.0
8.11,0.78,0.67,161.0,7.07,365.0,7.18,0.77,0.2,0.99,0.41,0.29,0.0
7.95,0.53,0.42,101.0,8.24,210.0,7.07,0.6,0.41,1.01,0.52,0.41,0.0
8.19,0.78,0.21,50.0,7.88,187.0,6.41,0.29,0.29,1.71,0.41,0.52,0.0
7.92,0.71,0.45,108.0,5.55,390.0,6.02,0.47,0.52,1.11,0.55,0.11,0.0
8.16,0.83,0.58,139.0,13.35,412.0,7.11,0.52,0.7,1.69,0.11,0.72,0.0
8.19,0.59,1.0,241.0,3.67,270.0,6.49,0.11,0.69,1.01,0.62,0.82,0.0
8.14,0.41,0.15,36.0,6.27,187.0,7.11,0.29,0.68,1.11,0.72,0.79,0.0
8.04,0.39,0.79,190.0,3.31,390.0,6.21,0.47,0.11,1.11,0.79,0.88,0.0
8.16,0.51,0.45,108.0,5.55,470.0,6.02,0.52,0.72,1.79,0.82,0.62,0.0
8.1,0.34,0.73,175.0,3.67,165.0,7.18,0.11,0.11,1.88,0.79,0.49,0.0
8.15,0.27,0.27,65.0,6.27,390.0,6.42,0.47,0.41,1.11,0.11,0.11,0.0
8.2,0.21,0.67,161.0,2.41,172.0,7.11,0.29,0.11,1.79,0.47,0.47,0.0
8.18,0.45,0.73,175.0,5.58,315.0,8.29,0.41,0.29,1.82,0.52,0.52,0.0
7.92,0.39,0.61,147.0,6.45,410.0,7.18,0.52,0.38,1.14,0.11,0.29,0.0
7.71,0.29,0.79,190.0,2.95,140.0,649.0,0.41,0.41,1.72,0.72,0.17,0.0
8.12,0.27,0.7,168.0,5.55,390.0,6.0,0.52,0.29,1.11,0.18,0.15,0.0
8.37,0.41,0.64,154.0,5.19,418.0,7.79,0.11,0.37,1.14,0.62,0.41,0.0
7.83,0.52,0.81,195.0,6.72,182.0,6.11,0.42,0.52,1.82,0.11,0.29,0.0
7.99,0.61,0.92,221.0,5.01,338.0,7.18,0.29,0.11,1.71,0.72,0.42,0.0
8.16,0.57,1.02,245.0,1.88,269.0,6.49,0.6,0.29,1.62,0.11,0.52,0.0
8.02,0.29,0.21,50.0,8.51,265.0,7.18,0.72,0.41,0.79,0.29,0.11,0.0
8.2,0.16,0.18,43.0,5.19,410.0,6.49,0.11,0.35,0.29,0.6,0.72,0.0
7.83,0.23,0.34,81.0,8.06,382.0,7.77,0.47,0.11,0.47,0.29,0.41,0.0
8.12,0.51,0.42,101.0,6.069,458.0,8.11,0.52,0.18,0.52,0.41,0.29,0.0
8.11,0.78,0.39,93.0,7.79,160.0,8.29,0.41,0.29,0.77,0.52,0.42,0.0
7.92,0.53,0.52,125.0,3.85,300.0,7.2,0.08,0.62,1.11,0.11,0.41,0.0
8.19,0.78,0.98,236.0,6.09,258.0,8.33,0.1,0.79,0.79,0.29,0.88,0.0
7.92,0.71,0.76,183.0,7.97,412.0,10.66,0.18,0.44,0.82,0.6,0.42,0.0
8.16,0.83,0.42,101.0,5.82,365.0,8.39,0.41,0.49,0.92,0.41,0.52,0.0
8.11,0.33,0.33,79.0,10.93,166.0,7.66,0.52,0.67,0.41,0.82,0.11,0.0
7.95,0.43,0.21,50.0,4.74,187.0,8.75,0.11,0.43,0.72,0.41,0.17,0.0
8.79,0.52,0.28,67.0,5.46,390.0,7.85,0.47,0.88,0.29,0.52,0.82,0.0
7.92,0.27,0.46,110.0,3.76,458.0,8.88,0.52,0.44,0.77,0.11,0.41,0.0
8.16,0.48,0.16,38.0,4.56,260.0,7.44,0.11,0.55,0.69,0.18,0.52,0.0
8.19,0.16,0.64,154.0,8.69,190.0,8.49,0.49,0.64,0.41,0.77,0.11,0.0
8.14,0.51,34.0,81.0,7.25,165.0,7.75,0.29,0.32,0.52,0.62,0.41,0.0
8.1,0.53,0.81,195.0,4.48,290.0,10.33,0.11,0.49,0.11,0.47,0.52,0.0
8.2,0.77,0.32,77.0,7.25,210.0,8.23,0.47,0.62,1.11,0.52,0.41,0.0
7.83,0.61,0.92,221.0,8.1,312.0,7.19,0.48,0.6,1.79,0.11,0.72,0.0
8.12,0.52,0.13,31.0,6.89,390.0,8.24,0.52,0.54,1.62,0.47,0.54,0.0
8.11,1.03,0.51,122.0,4.39,164.0,8.33,0.44,0.62,0.63,0.77,0.35,0.0
7.95,0.16,0.81,195.0,8.24,211.0,7.75,0.77,0.88,0.45,0.36,0.63,1.0
8.19,0.23,0.98,236.0,2.5,916.0,10.44,0.44,0.36,0.46,0.75,0.79,0.0
7.92,0.51,0.76,183.0,8.15,698.0,8.2,0.79,0.79,0.64,0.41,0.62,1.0
8.14,0.78,0.88,212.0,3.31,576.0,7.77,0.42,0.5,0.49,0.51,0.36,0.0
8.04,0.53,0.68,163.0,7.52,748.0,8.32,0.49,0.76,0.64,0.73,0.62,0.0
8.2,0.83,0.42,101.0,6.27,283.0,7.33,0.43,0.49,0.34,0.71,0.77,0.0
7.92,0.59,0.91,219.0,3.58,470.0,8.34,0.5,0.66,0.75,0.44,0.81,0.0
7.94,0.51,0.76,183.0,5.55,741.0,7.32,0.66,0.44,0.82,0.43,0.32,0.0
8.37,0.42,0.58,139.0,7.34,290.0,8.2,0.6,0.64,0.44,0.72,0.5,1.0
7.99,0.48,0.39,93.0,8.24,1031.0,7.72,0.49,0.7,0.63,0.75,0.24,0.0
8.7,0.38,0.22,53.0,3.67,911.0,7.47,0.72,0.6,0.75,0.65,0.5,0.0
7.83,0.63,0.36,86.0,7.52,687.0,10.24,0.5,0.75,0.8,0.62,0.41,0.0
8.12,0.71,0.92,221.0,3.27,504.0,8.33,0.62,0.77,0.44,0.39,0.4,1.0
7.92,0.83,0.18,43.0,3.31,490.0,7.75,0.5,0.66,0.61,0.77,0.85,0.0
7.81,0.61,0.16,38.0,7.97,295.0,10.34,0.79,0.75,0.65,0.44,0.44,1.0
8.16,0.52,0.27,55.0,8.15,266.0,8.66,0.5,0.44,0.48,0.35,0.89,0.0
7.92,0.42,0.81,195.0,5.73,308.0,7.75,0.42,0.6,0.44,0.75,0.72,0.0
8.19,0.63,0.72,173.0,8.33,704.0,11.44,0.66,0.89,0.51,0.75,0.32,1.0
7.92,0.47,0.33,79.53,6.54,351.0,10.22,0.33,0.24,0.42,0.75,0.17,0.0
8.16,0.33,0.58,139.0,5.82,384.0,8.24,0.33,0.67,0.79,0.64,0.59,0.0
7.95,0.26,0.99,238.0,4.56,143.0,7.75,0.42,0.32,0.8,0.77,0.76,0.0
8.0,0.34,0.54,125.0,7.07,418.0,8.41,0.51,0.62,0.47,0.32,0.55,0.0
8.04,0.26,0.41,98.0,7.43,364.0,7.73,0.32,0.34,0.73,0.66,0.49,0.0
7.98,0.4,0.32,77.0,6.54,588.0,8.44,0.75,0.75,0.88,0.34,0.46,0.0
8.05,0.29,0.18,43.0,7.25,588.0,10.77,0.41,0.4,0.7,0.53,0.79,0.0
7.96,0.45,0.38,74.0,5.37,327.0,8.2,0.34,0.68,0.86,0.74,0.83,0.0
7.88,0.43,0.38,91.0,6.54,933.0,11.88,0.81,0.4,0.67,0.32,0.77,0.0
8.11,0.21,0.46,110.0,7.25,218.0,12.2,0.66,0.62,0.34,0.81,0.79,1.0
7.92,0.64,0.28,67.0,6.45,161.0,8.36,0.41,0.7,0.81,0.92,0.62,0.0
8.07,0.64,0.81,195.0,7.16,206.0,10.4,0.55,0.41,0.66,0.74,0.81,0.0
7.91,0.25,0.79,190.0,7.34,714.0,8.48,0.75,0.75,0.81,0.63,0.64,1.0
7.94,0.45,0.67,161.0,4.92,810.0,7.75,0.79,0.37,0.79,0.43,0.44,0.0
8.1,0.4,0.44,106.0,6.36,480.0,11.66,0.32,0.81,0.85,0.44,0.62,0.0
7.81,1.02,0.84,202.0,7.07,1022.0,10.66,0.66,0.73,0.55,0.79,0.62,1.0
8.04,0.62,0.26,62.0,7.25,352.0,8.88,0.75,0.7,0.81,0.43,0.44,0.0
8.27,0.98,0.54,130.0,5.55,354.0,8.2,0.88,0.62,0.63,0.77,0.34,0.0
8.11,1.1,0.3,72.0,6.72,333.0,8.26,0.77,0.44,0.94,0.43,0.5,0.0
8.35,1.02,0.33,29.0,5.37,615.0,11.3,0.44,0.68,0.64,0.77,0.59,0.0
8.3,0.55,0.81,185.0,7.25,1301.0,10.36,0.52,0.97,0.64,0.81,0.66,1.0
8.2,0.22,1.14,275.0,6.75,912.0,11.32,0.81,0.4,0.94,0.32,0.77,1.0
8.24,0.86,1.32,296.0,5.64,249.0,10.24,0.37,0.48,0.81,0.46,0.66,0.0
8305.0,0.2,0.24,57.0,3.92,2763.0,12.22,0.98,0.42,0.72,0.66,0.5,0.0
8.05,0.22,0.6,144.0,2.67,285.0,8.66,0.86,0.77,0.64,0.77,0.62,1.0
8.04,0.39,0.36,86.0,7.88,736.0,7.72,0.52,0.77,0.49,0.32,0.4,0.0
8.27,0.28,0.96,216.0,6.72,305.0,11.41,0.77,0.44,30.0,0.62,0.88,1.0
8.99,0.32,0.63,151.0,3.67,1004.0,8.24,0.4,0.32,0.43,0.87,0.77,0.0
8.11,0.88,0.81,195.0,6.89,851.0,12.14,0.49,0.7,0.66,0.57,0.33,0.0
7.25,0.8,0.36,86.0,3.65,756.0,9.92,0.72,0.81,0.54,0.84,0.6,0.0
8.05,0.3,0.81,195.0,3.22,932.0,7.77,0.29,0.29,1.11,0.75,0.6,0.0
8.25,0.6,0.33,79.0,7.25,509.0,7.75,0.7,0.11,0.89,0.29,0.29,0.0
7.73,0.25,0.24,57.0,12.54,815.0,8.14,0.62,0.62,0.74,0.35,0.34,1.0
8.14,0.85,0.9,216.0,6.72,650.0,0.25,0.35,0.32,0.81,0.44,0.79,0.0
7.99,0.29,0.33,79.0,8.84,719.0,10.2,0.4,0.3,0.65,0.72,0.24,0.0
8.31,0.32,0.81,195.0,11.64,769.0,8.33,0.3,0.62,0.65,0.77,0.4,1.0
8.11,1.09,0.76,86.0,14.42,1273.0,7.58,0.47,0.41,0.49,0.66,0.55,0.0
8.24,0.6,1.14,216.0,7.7,986.0,8.2,0.45,0.5,0.63,0.75,0.3,0.0
8.33,0.28,0.81,279.0,6.45,520.0,10.25,0.54,0.49,0.63,63.0,0.66,1.0
8.24,0.34,0.3,19.0,3.97,698.0,8.44,0.5,0.32,0.44,0.32,0.42,0.0
8.14,0.28,1.23,72.0,3.31,1049.0,7.79,0.77,0.82,0.51,0.81,0.62,1.0
8.27,0.35,0.3,296.0,4.92,902.0,8.49,0.36,0.62,0.66,0.77,0.82,0.0
8.08,0.65,0.45,91.0,3.76,362.0,10.2,0.81,0.75,0.41,0.62,0.25,1.0
8.29,0.35,0.185,108.0,6.8,668.0,7.75,0.33,0.8,0.79,0.45,0.62,0.0
8.27,0.53,0.45,360.0,3.58,943.0,8.66,0.66,0.62,0.42,0.79,0.33,1.0
8.06,0.86,0.81,108.0,9.94,575.0,6.36,0.75,0.3,0.43,0.86,0.66,0.0
8.27,0.68,0.66,195.0,7.07,318.0,10.62,0.69,0.66,0.4,0.81,0.72,1.0
8.03,0.33,0.33,139.0,6.0,534.0,8.88,0.45,0.76,0.4,0.41,0.62,0.0
8.11,0.2,0.24,79.0,5.25,189.0,10.24,0.44,0.55,0.72,0.35,0.6,0.0
8.13,0.29,0.66,57.0,9.94,560.0,9.298,0.49,0.77,0.44,0.66,0.35,0.0
8.32,0.31,0.33,159.0,5.67,622.0,8.82,0.49,0.44,0.63,0.33,0.37,0.0
8.07,0.49,0.6,79.0,10.72,716.0,7.77,0.49,0.42,0.75,0.44,0.37,0.0
8.25,0.73,0.54,72.0,8.41,649.0,8.06,0.86,0.35,0.44,0.33,0.91,0.0
8.27,0.38,0.13,130.0,8.87,640.0,9.2,0.45,0.42,0.77,0.35,0.79,0.0
8.31,0.91,,298.0,11.73,1255.0,8.11,0.62,0.66,0.45,0.44,0.32,1.0
8.14,0.48,0.15,360.0,6.72,552.0,9.11,0.45,0.55,0.42,0.33,0.77,0.0
8.2,0.94,0.45,108.0,12.67,619.0,9.18,0.75,0.37,0.77,0.85,0.44,0.0
8.19,0.37,0.66,159.0,4.92,888.0,1711.0,0.85,0.3,0.8,0.62,0.44,1.0
8.25,0.28,0.45,108.0,7.88,315.0,10.1,0.77,0.37,0.62,0.55,0.62,0.0
8.11,0.31,0.15,360.0,11.67,452.0,8.88,0.64,0.32,0.72,0.44,0.77,1.0
8.01,0.45,0.66,159.0,12.54,559.0,10.41,0.75,0.62,0.74,0.76,0.41,1.0
8.32,0.36,0.9,216.0,8.51,1267.0,8.11,0.5,0.41,0.3,0.7,0.41,0.0
8.07,0.17,0.15,36.0,5.64,554.0,6.62,0.71,0.86,0.74,0.44,0.24,0.0
7.98,0.84,0.6,72.0,9.92,305.0,10.62,0.66,0.46,0.65,0.29,0.33,0.0
7.21,0.32,0.51,195.0,6.06,224.0,8.88,0.81,0.34,0.86,0.55,0.44,1.0
7.99,0.33,0.22,56.0,8.87,336.0,10.24,0.44,0.55,0.64,0.37,0.37,0.0
7.09,0.41,0.33,79.0,3.4,412.0,9.92,0.11,0.1,0.49,0.37,0.62,0.0
8.2,0.74,0.68,163.0,4.56,694.0,8.12,0.29,0.22,0.75,0.29,0.77,0.0
8.31,0.35,0.81,196.0,5.28,310.0,7.77,0.42,0.2,0.88,0.42,0.88,0.0
7.98,0.68,0.92,221.0,9.91,241.0,8.06,0.2,0.47,0.92,0.29,0.29,0.0
7.98,0.57,0.68,163.0,6.72,498.0,9.2,0.41,0.82,0.61,0.2,0.2,0.0
8.04,0.48,0.54,130.0,5.55,209.0,8.11,0.2,0.41,0.77,0.29,0.41,0.0
8.95,0.38,0.91,195.0,11.55,505.0,9.11,0.47,0.29,0.89,0.11,0.2,0.0
8.15,0.39,0.52,125.0,3.13,674.0,8.18,0.25,0.41,0.21,0.47,0.74,0.0
8.28,0.91,0.33,79.0,14.22,975.0,9.29,0.11,0.2,1.01,0.52,0.92,0.0
8.17,0.84,0.54,81.0,5.19,249.0,8.11,0.72,0.21,1.04,0.11,0.61,0.0
8.21,0.67,60.0,144.0,9.94,173.0,7.11,0.88,0.52,1.77,0.72,0.72,1.0
8.11,0.78,0.3,71.0,3.13,315.0,6.49,0.01,0.11,0.69,0.29,0.69,0.0
8.05,0.99,0.81,195.0,10.57,216.0,8.11,0.07,0.18,1.01,0.75,0.77,0.0
8.19,0.48,0.52,125.0,5.1,452.0,9.02,0.11,0.22,1.11,0.11,0.29,0.0
8.17,0.61,0.63,151.0,2.5,380.0,7.12,0.17,0.11,1.19,0.29,0.42,0.0
8.08,0.22,0.2,48.0,3.68,683.0,8.12,0.22,0.12,1.01,0.41,0.4,0.0
8.05,0.3,0.3,72.0,5.01,397.0,7.77,0.11,0.17,1.29,0.29,0.29,0.0
8.07,0.28,0.98,263.0,9.94,351.0,8.07,0.07,0.12,1.41,0.11,0.47,0.0
8.28,0.51,1.2,289.0,6.27,908.0,7.12,0.02,0.18,0.79,0.29,0.92,0.0
8.11,0.22,0.22,53.0,11.91,956.0,6.49,0.61,0.92,0.82,0.47,0.6,1.0
8.99,0.3,1.11,267.0,5.37,482.0,6.2,0.77,0.11,0.92,0.52,0.29,0.0
8.05,0.28,0.33,79.0,4.3,367.0,7.77,0.29,0.47,0.41,0.11,0.41,0.0
8.14,0.51,0.38,91.0,4.56,490.0,8.41,0.41,0.32,0.29,0.72,0.2,0.0
8.21,0.22,0.11,26.0,4.72,273.0,9.12,0.29,0.41,0.1,0.41,0.11,0.0
8.14,0.28,0.08,192.0,3.94,572.0,8.12,0.41,0.29,1.29,0.49,0.89,0.0
8.48,0.4,0.6,144.0,4.48,373.0,7.77,0.29,0.47,1.11,0.52,0.69,0.0
8.09,0.37,0.3,72.0,4.48,1350.0,6.49,0.01,0.11,0.41,0.11,0.77,0.0
8.16,0.22,0.81,195.0,4.56,615.0,8.11,0.08,0.18,0.72,0.6,0.62,0.0
8.14,0.21,0.52,125.0,4.3,285.0,7.77,0.41,0.24,0.89,0.11,0.92,0.0
8.08,0.35,0.3,72.0,6.54,435.0,6.49,0.62,0.41,0.29,0.47,0.48,0.0
7.91,0.37,0.51,122.0,5.66,759.0,7.15,0.41,0.29,0.48,0.92,0.92,0.0
8.12,0.25,0.54,130.0,6.42,572.0,6.49,0.2,0.2,0.72,0.29,0.88,0.0
8.25,0.46,0.65,54.0,3.92,354.0,7.18,0.29,0.29,40.0,0.48,0.92,0.0
8.09,0.31,0.78,87.0,5.64,382.0,6.49,0.41,0.17,0.211,0.82,0.62,0.0
8.19,0.2,0.38,200.0,8.92,312.0,7.78,0.29,0.11,0.24,0.41,0.77,0.0
8.22,0.34,0.92,221.0,7.48,701.0,4.18,0.41,0.18,0.1,0.62,0.29,0.0
8.18,1.0,0.81,43.0,9.94,777.0,6.49,0.92,0.29,0.11,0.41,0.78,0.0
8.28,0.36,1.14,274.0,14.89,7.67,7.11,0.41,0.41,1.72,0.29,0.2,0.0
8.13,0.24,0.83,200.0,7.49,675.0,7.08,0.29,0.21,0.101,0.41,0.47,0.0
8.03,0.33,0.8,192.0,8.51,920.0,6.49,0.72,0.41,1.07,0.29,0.29,0.0
8.21,0.38,0.28,67.0,6.8,718.0,7.18,0.68,0.47,1.11,0.48,0.08,0.0
8.22,0.42,0.81,195.0,8.51,2.85,6.49,0.08,0.11,0.42,0.49,0.08,0.0
8.04,0.39,0.53,127.0,4.92,238.0,7.77,0.1,0.18,0.41,0.29,0.1,0.0
8.09,0.32,0.45,115.0,7.94,210.0,8.06,0.18,0.29,0.92,0.11,0.18,0.0
8.0,0.29,0.46,110.0,10.21,545.0,7.77,0.07,0.11,0.48,0.79,0.07,0.0
8.24,0.54,0.54,130.0,6.8,235.0,7.9,0.01,0.47,1.01,0.88,0.01,0.0
7.99,0.45,0.34,80.0,3.87,456.0,7.77,0.08,0.11,1.01,0.92,0.08,0.0
7.99,0.51,0.6,144.0,2.5,695.0,6.49,0.02,0.08,1.04,0.61,0.01,0.0
7.89,1.02,0.24,57.0,3.65,610.0,6.0,0.07,0.11,1.11,0.29,0.07,0.0
8.11,0.39,0.38,91.0,4.48,215.0,7.18,0.1,0.18,1.79,0.7,0.1,0.0
7.78,0.96,0.68,86.0,4.39,250.0,7.01,0.41,0.29,1.62,0.41,0.11,0.0
8.07,0.42,0.33,79.0,3.22,320.0,6.49,0.29,0.41,1.01,0.72,0.29,0.0
8.13,0.54,0.66,159.0,6.36,265.0,6.02,0.48,0.11,1.11,0.11,0.48,0.0
8.24,0.4,21.0,50.0,1.97,235.0,7.7,0.2,0.07,1.72,0.29,0.2,0.0
8.32,0.35,0.18,43.0,3.22,267.0,6.49,0.74,0.11,0.79,0.11,0.47,0.0
8.13,0.35,0.96,231.0,5.68,192.0,6.04,0.29,0.18,0.82,0.07,0.29,0.0
7.98,0.16,0.36,86.0,7.16,386.0,8.1,0.08,0.49,0.11,0.62,0.35,0.0
7.91,0.41,0.09,216.0,8.87,276.0,10.2,0.1,0.35,1.11,0.41,0.62,0.0
7.85,0.41,0.45,108.0,7.07,77.72,8.16,0.15,0.77,1.79,0.29,0.49,0.0
7.91,0.56,0.55,132.0,6.0,153.0,1022.0,0.11,0.89,1.0,0.48,0.63,1.0
8.08,0.39,0.09,21.0,7.25,160.0,8.34,0.07,0.63,1.11,0.72,0.55,0.0
7.87,0.31,0.24,57.0,6.89,200.0,11.2,0.09,0.6,1.72,0.41,0.74,0.0
7.91,0.43,0.39,93.0,10.93,58.24,8.3,0.11,0.41,1.88,0.37,0.89,0.0
8.1,0.48,0.3,72.0,7.07,577.0,10.23,0.52,0.43,1.92,0.42,0.47,0.0
7.1,0.51,0.42,101.0,7.25,722.0,8.21,0.83,0.95,1.62,0.79,0.41,1.0
8.13,0.63,0.67,161.0,6.36,289.0,11.82,0.62,0.44,1.72,0.29,0.79,1.0
8.41,0.54,0.48,115.0,5.19,261.0,8.49,0.64,0.86,1.01,0.47,0.73,0.0
7.98,0.77,0.48,115.0,7.16,275.0,12.8,0.35,0.77,1.07,0.92,0.66,0.0
7.24,0.57,0.45,108.0,6.36,56.67,11.24,0.49,0.8,1.11,0.11,0.44,0.0
8.07,0.31,0.58,139.0,3.49,164.0,10.62,0.55,0.73,1.72,0.07,0.64,1.0
8.09,0.24,0.52,125.0,3.67,260.0,11.62,0.69,0.85,1.11,0.18,0.36,1.0
8.3,0.34,0.24,57.0,3.49,432.0,8.08,0.81,0.62,0.41,0.6,0.36,0.0
8.6,0.51,0.48,115.0,7.43,167.0,7.75,0.45,0.35,0.69,0.85,0.77,0.0
8.51,0.24,0.48,115.0,7.79,392.0,8.24,0.48,0.3,0.49,0.32,0.62,0.0
8.1,0.48,0.42,101.0,6.54,187.0,7.77,0.38,0.42,0.55,0.95,0.81,0.0
8.16,0.22,0.52,125.0,1.88,287.0,8.99,0.22,0.33,0.62,0.36,0.66,0.0
8.21,0.19,0.33,79.0,7.07,267.0,7.75,0.75,0.49,0.44,0.63,0.6,0.0
8.28,0.27,0.15,36.0,6.54,232.0,8.2,0.32,0.46,0.45,0.6,0.79,0.0
7.91,0.36,0.33,79.0,7.52,492.0,11.49,0.45,0.49,0.64,0.75,0.73,0.0
8.21,0.44,0.24,57.0,6.8,258.0,12.3,0.75,0.5,0.49,0.64,0.62,1.0
8.29,0.49,0.33,79.0,3.76,370.0,10.45,0.35,0.69,0.66,0.78,0.41,0.0
8.19,0.33,0.67,161.0,5.82,350.0,11.86,0.56,0.43,0.35,0.88,0.77,0.0
8.18,0.27,0.45,108.0,6.36,164.0,14.8,0.77,0.82,0.75,0.44,0.48,1.0
8.16,0.41,0.18,43.0,8.06,211.0,10.37,0.75,0.66,0.35,0.44,0.55,1.0
8.19,0.57,0.21,50.0,6.89,916.0,12.86,0.37,0.75,0.81,0.44,0.64,0.0
8.17,0.23,0.45,108.0,7.34,698.0,10.22,0.62,0.7,0.44,0.73,0.7,1.0
8.32,0.26,0.3,72.0,5.55,577.0,9.87,0.14,0.22,0.87,0.18,0.86,0.0
8.17,0.21,0.27,63.0,6.09,749.0,8.15,0.86,0.66,1.4,1.38,0.15,0.0
8.16,0.41,0.12,28.0,2.24,916.0,9.15,0.55,0.86,2.18,0.86,0.3,0.0
8.3,0.56,0.73,175.0,8.24,698.0,3.16,0.14,0.59,3.0,0.6,0.11,0.0
8.7,0.71,0.09,216.0,13.61,576.0,7.77,0.65,0.18,2.58,1.4,0.86,0.0
7.91,0.23,0.15,36.0,2.68,748.0,0.55,1.55,0.82,3.1,1.86,0.6,0.0
7.85,0.52,0.42,101.0,1.25,283.0,10.68,0.87,0.65,2.15,0.51,1.3,1.0
8.5,0.31,0.24,57.0,1.34,470.0,3.85,0.15,0.87,2.6,1.87,0.11,0.0
7.91,0.27,0.67,161.0,1.25,747.0,2.69,0.66,0.98,1.66,0.15,0.015,0.0
8.26,0.28,0.24,57.0,0.95,290.0,4.78,0.15,0.72,3.86,1.58,0.38,0.0
7.91,0.36,0.48,115.0,1.7,1031.0,3.12,0.38,0.9,1.98,3.15,0.55,0.0
8.41,0.24,0.36,86.0,1.16,911.0,3.86,0.15,0.72,2.0,0.58,0.11,0.0
7.92,0.41,0.09,216.0,7.16,687.0,4.96,0.86,0.58,1.11,0.15,0.72,0.0
7.91,0.56,0.55,132.0,1.13,504.0,9.87,0.58,0.6,1.4,0.72,0.12,0.0
8.0,0.71,0.42,101.0,0.98,490.0,5.72,0.58,0.48,1.66,0.86,0.12,0.0
7.79,0.23,0.45,108.0,1.88,295.0,9.82,0.15,0.87,1.33,0.18,0.66,0.0
8.1,0.52,0.33,79.53,2.5,266.0,3.85,0.38,0.12,0.66,0.12,0.6,0.0
7.79,0.31,0.67,161.0,1.88,308.0,10.48,0.48,0.69,0.9,0.31,0.33,1.0
7.83,0.27,0.45,108.0,2.15,704.0,9.87,0.86,0.3,0.86,0.36,0.12,0.0
8.16,0.39,0.21,50.61,1.25,351.0,8.4,0.65,0.78,1.4,0.18,0.82,0.0
8.23,0.16,0.35,132.0,1.43,384.0,7.4,0.14,0.9,1.15,0.18,0.13,0.0
7.91,0.28,0.42,101.0,0.98,143.0,9.78,0.66,0.58,0.15,0.18,0.87,0.0
7.85,0.44,0.24,57.84,2.86,418.0,5.9,0.82,0.22,0.86,0.16,0.9,0.0
7.9,0.57,0.67,161.0,1.52,364.0,2.86,0.14,0.32,0.9,0.21,0.15,0.0
8.02,0.33,0.24,57.84,1.7,388.0,8.62,0.56,0.87,0.85,0.9,0.6,0.0
7.87,0.54,0.48,115.0,2.5,327.0,7.76,0.12,0.19,0.86,0.58,0.14,0.0
7.91,0.41,0.79,86.76,3.22,993.0,10.69,0.9,0.6,0.86,0.55,0.82,1.0
8.1,0.53,0.09,21.69,2.06,218.0,9.66,0.46,0.88,0.41,0.96,0.21,0.0
7.9,0.47,0.42,101.0,8.87,161.0,7.72,0.13,0.9,0.99,0.11,0.82,0.0
8.3,0.49,0.33,79.53,1.7,206.0,9.32,0.12,0.58,1.1,0.13,0.9,0.0
8.46,0.26,0.38,134.0,5.55,174.0,3.82,0.38,0.78,0.98,0.12,0.4,0.0
7.98,0.39,0.24,57.84,4.48,198.0,7.72,0.12,0.9,1.4,0.86,0.66,0.0
8.1,0.51,0.36,86.76,9.85,210.0,9.9,0.38,0.73,3.16,0.12,0.23,0.0
8.19,0.78,0.45,108.0,3.78,394.0,8.69,0.69,1.11,2.6,1.82,0.89,0.0
7.91,0.3,0.55,132.0,5.55,361.0,7.29,0.15,0.82,3.12,0.9,0.66,0.0
7.93,0.36,0.09,21.69,5.46,411.0,8.9,0.69,0.11,0.98,0.13,0.34,0.0
8.16,0.44,0.45,108.0,3.04,587.0,4.12,0.3,1.12,0.99,0.72,0.3,0.0
8.26,0.59,0.76,183.0,4.83,188.0,8.12,0.18,0.42,1.21,0.86,0.44,0.0
7.93,0.21,0.09,21.69,3.76,577.0,6.34,0.24,0.21,1.03,1.12,0.42,0.0
8.27,0.16,0.45,108.0,6.36,386.0,5.95,0.34,0.19,1.14,0.98,0.22,0.0
8.17,0.58,0.24,57.84,10.03,258.0,4.34,0.44,0.2,1.35,1.12,0.3,0.0
8.3,0.43,0.52,125.0,6.89,412.0,5.36,0.6,0.35,1.18,2.14,0.34,1.0
7.92,0.52,0.71,171.0,6.27,487.0,4.36,0.62,0.19,1.7,1.08,0.21,0.0
7.78,0.21,0.81,195.0,8.06,220.0,4.99,0.74,0.2,10.6,1.69,0.34,1.0
8.29,0.78,0.28,67.48,7.25,300.0,5.2,0.8,0.19,1.76,2.1,0.66,0.0
8.18,0.63,0.28,67.48,4.97,181.0,5.21,0.69,0.2,1.01,0.41,0.33,0.0
8.11,0.21,0.36,86.76,0.89,2.0,6.14,0.61,0.12,0.77,0.38,0.48,0.0
8.0,0.19,0.58,139.0,1.88,140.0,5.79,0.69,0.08,0.98,0.65,0.22,0.0
8.19,1.01,0.71,177.0,3.31,230.0,6.01,0.61,0.14,0.89,0.79,0.12,0.0
7.81,0.52,0.52,125.0,10.21,210.0,8.04,0.77,0.16,0.77,0.34,0.14,0.0
7.95,0.48,1.02,245.0,7.16,167.0,9.24,0.87,0.11,0.57,0.4,0.39,0.0
8.13,0.23,0.33,79.53,7.97,220.0,8.16,0.88,0.13,0.68,0.51,0.41,0.0
